year,month,day,mean_T,iKid
2000,Jan,1,-2.5,FALSE
2000,Jan,2,1.7999999999999998,FALSE
2000,Jan,3,-0.3999999999999999,FALSE
2000,Jan,4,3.0999999999999996,FALSE
2000,Jan,5,-1.7,FALSE
2000,Jan,6,3.05,FALSE
2000,Jan,7,2.4,FALSE
2000,Jan,8,5.85,FALSE
2000,Jan,9,3.9,FALSE
2000,Jan,10,-0.8,FALSE
2000,Jan,11,4.2,FALSE
2000,Jan,12,4.15,FALSE
2000,Jan,13,2.8,FALSE
2000,Jan,14,-1.85,FALSE
2000,Jan,15,-2.6,FALSE
2000,Jan,16,0.20000000000000007,FALSE
2000,Jan,17,3.8,FALSE
2000,Jan,18,1.7,FALSE
2000,Jan,19,-1.05,FALSE
2000,Jan,20,0.5,FALSE
2000,Jan,21,-7.15,FALSE
2000,Jan,22,-13.15,FALSE
2000,Jan,23,-13,FALSE
2000,Jan,24,-8.4,FALSE
2000,Jan,25,-4.65,FALSE
2000,Jan,26,-0.6,FALSE
2000,Jan,27,1,FALSE
2000,Jan,28,-6.25,FALSE
2000,Jan,29,1.5,FALSE
2000,Jan,30,0.1499999999999999,FALSE
2000,Jan,31,-5.15,FALSE
2000,Feb,1,-5.85,FALSE
2000,Feb,2,-2.1,FALSE
2000,Feb,3,-5.65,FALSE
2000,Feb,4,3.5,FALSE
2000,Feb,5,1.45,FALSE
2000,Feb,6,4.9,FALSE
2000,Feb,7,4,FALSE
2000,Feb,8,0.85,FALSE
2000,Feb,9,-1.95,FALSE
2000,Feb,10,0.8500000000000001,FALSE
2000,Feb,11,3.5,FALSE
2000,Feb,12,4.9,FALSE
2000,Feb,13,1.2,FALSE
2000,Feb,14,-2.55,FALSE
2000,Feb,15,-0.4,FALSE
2000,Feb,16,-1.55,FALSE
2000,Feb,17,-3.65,FALSE
2000,Feb,18,-6.95,FALSE
2000,Feb,19,-6.7,FALSE
2000,Feb,20,-7.85,FALSE
2000,Feb,21,-7,FALSE
2000,Feb,22,-4.1,FALSE
2000,Feb,23,-4.8,FALSE
2000,Feb,24,-0.6000000000000001,FALSE
2000,Feb,25,-5.1499999999999995,FALSE
2000,Feb,26,-6.8,FALSE
2000,Feb,27,3.3,FALSE
2000,Feb,28,4.35,FALSE
2000,Feb,29,4.45,FALSE
2000,Dec,1,5,FALSE
2000,Dec,2,6.15,FALSE
