,categories,value,what
0,Q1-13,5,Miss
1,Q2-13,2,Miss
2,Q3-13,6,Miss
3,Q4-13,5,Miss
4,Q1-14,7,Miss
5,Q2-14,7,Miss
6,Q3-14,12,Miss
7,Q4-14,15,Miss
8,Q1-15,20,Miss
9,Q2-15,33,Miss
10,Q3-15,42,Miss
0,Q1-13,40,Exceed
1,Q2-13,32,Exceed
2,Q3-13,25,Exceed
3,Q4-13,24,Exceed
4,Q1-14,21,Exceed
5,Q2-14,35,Exceed
6,Q3-14,30,Exceed
7,Q4-14,25,Exceed
8,Q1-15,10,Exceed
9,Q2-15,5,Exceed
10,Q3-15,12,Exceed
0,Q1-13,55,Meet
1,Q2-13,66,Meet
2,Q3-13,69,Meet
3,Q4-13,71,Meet
4,Q1-14,72,Meet
5,Q2-14,58,Meet
6,Q3-14,58,Meet
7,Q4-14,60,Meet
8,Q1-15,70,Meet
9,Q2-15,62,Meet
10,Q3-15,46,Meet
