,criteria,value,company
0,Selection,0.6,Our Business
1,Convenience,1.27,Our Business
2,Service,0.7,Our Business
3,Relationship,1.0,Our Business
4,Price,2.0,Our Business
0,Selection,0.62,A
1,Convenience,2.5,A
2,Service,0.75,A
3,Relationship,1.9,A
4,Price,1.45,A
0,Selection,1.2,B
1,Convenience,1.1,B
2,Service,1.65,B
3,Relationship,0.9,B
4,Price,0.6,B
0,Selection,0.75,C
1,Convenience,1.25,C
2,Service,1.0,C
3,Relationship,0.92,C
4,Price,1.7,C
0,Selection,1.5,D
1,Convenience,1.52,D
2,Service,1.05,D
3,Relationship,0.95,D
4,Price,1.6,D
